id,price,accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,instant_bookable,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,n_amenities,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming
34571687,454.0,1,1.0,1.5,0.0,Alt-Wiedikon,Private room,Private room in rental unit,1,47.3676,8.52111,0,0,21,296,8,0,0,0.1,0,100.0,50.0,1.0,3,0,4.63,4.88,4.88,5.0,5.0,4.88,4.5,13,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,40,265,0,0,0,0,0,0,1,0,1,0,0,0
34674097,87.0,2,0.0,1.0,1.0,Mühlebach,Entire home/apt,Entire rental unit,30,47.35055,8.56207,0,25,55,330,85,7,0,1.1,1,100.0,94.0,1.0,52,0,4.32,4.45,4.47,4.55,4.64,4.73,4.27,36,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,48,400,0,0,0,0,0,0,1,0,0,0,0,0
34743620,140.0,2,0.0,1.0,1.0,Gewerbeschule,Entire home/apt,Entire rental unit,1,47.38186,8.53034,30,60,90,180,26,5,2,0.34,0,87.0,31.0,2.0,16,0,4.81,4.81,4.54,4.81,4.92,4.88,4.73,38,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,50,500,0,0,1,1,0,1,0,0,1,1,0,1
34795712,200.0,3,1.0,1.0,2.0,Mühlebach,Entire home/apt,Entire rental unit,30,47.36496,8.55184,29,59,89,364,4,0,0,0.05,0,,14.0,,17,0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,40,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,49,502,0,0,0,0,0,0,1,0,1,0,1,1
34861647,90.0,1,1.0,1.0,1.0,Seefeld,Private room,Private room in rental unit,1,47.3582,8.55263,29,59,89,124,20,2,0,0.48,0,40.0,42.0,4.0,2,0,4.85,4.8,4.95,4.75,4.8,4.9,4.75,33,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,50,297,0,0,0,0,0,0,1,0,1,0,0,0
35025688,315.0,6,3.0,1.0,3.0,Witikon,Entire home/apt,Entire rental unit,28,47.36074,8.58245,0,0,0,151,65,3,0,0.86,1,100.0,100.0,1.0,3,0,4.98,4.97,4.94,5.0,5.0,4.89,4.85,66,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,50,447,0,0,1,0,0,1,0,0,1,0,0,0
35142524,58.0,1,1.0,1.0,1.0,Oerlikon,Private room,Private room in condo,5,47.40615,8.55209,0,4,34,302,26,5,0,0.34,1,100.0,96.0,2.0,4,0,4.92,4.96,4.65,4.92,4.96,4.85,4.5,18,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,52,0,0,0,0,0,0,0,0,0,0,0,0
35178707,108.0,2,0.0,1.0,1.0,Oberstrass,Entire home/apt,Entire rental unit,7,47.38168,8.54732,20,50,80,80,3,3,0,1.1,0,100.0,78.0,3.0,69,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,48,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,26,269,0,0,0,0,0,0,0,0,0,1,0,0
35179129,107.0,2,0.0,1.0,1.0,Unterstrass,Entire home/apt,Entire rental unit,7,47.38244,8.54064,20,50,80,80,31,8,2,0.41,0,100.0,78.0,3.0,69,0,4.71,4.58,4.94,4.84,4.87,4.81,4.48,47,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,26,269,0,0,0,0,0,0,0,0,0,1,0,0
35179702,107.0,2,0.0,1.0,1.0,Oberstrass,Entire home/apt,Entire rental unit,7,47.38168,8.54732,20,50,80,80,0,0,0,,0,100.0,78.0,3.0,69,0,,,,,,,,45,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,26,269,0,0,0,0,0,0,0,0,0,1,0,0
